stevilka,ime,tema,podtema,leto,st_kock,st_minifigur,dostopnost,msrp,vrednost
22.3,Value Pack Italy,Promotional,Value Packs,1995,91,0,Retired,21.55,82.55
23.2,Value Pack Italy,Town,Value Packs,1995,161,0,Retired,13.17,274.37
54.0,UFO Action Pack,Space,UFO,1997,96,0,Retired,7.03,113.42
100.0,Stores Minifigure,Promotional,LEGO Brand Stores,2019,1,1,Retired,,48.26
315.0,Basic Building Set,Basic,,1990,62,0,Retired,,9.29
325.0,Basic Building Set,Basic,,1990,104,1,Retired,,38.53
335.0,Basic Building Set,Basic,,1990,99,0,Retired,,
345.2,Small Play Bucket,Basic,,1993,131,0,Retired,14.95,50.55
365.2,Basic Building Set,Basic,,1990,337,1,Retired,,68.37
385.2,Basic Building Set,Basic,,1990,438,2,Retired,,
395.2,Build-N-Store Chest,Basic,,1990,535,0,Retired,,
515.0,Basic Building Set,Basic,,1990,111,0,Retired,,14.07
525.0,Basic Building Set,Basic,,1990,181,1,Retired,,105.51
535.0,Basic Building Set,Basic,,1990,345,2,Retired,,36.63
545.0,Basic Building Set,Basic,,1990,408,2,Retired,,63.99
565.2,Basic Building Set,Basic,,1990,364,2,Retired,,176.94
620.3,Blue Building Plate,Bricks and More,,2010,1,0,Retired,6.99,7.97
624.0,"Basic Motor, 9V",Basic,Supplementaries,1996,27,0,Retired,22.87,34.73
626.0,"Building Plate, Green",Basic,Supplementaries,1996,1,0,Retired,6.99,6.58
627.0,Blue Building Plate,Basic,Supplementaries,1996,1,0,Retired,4.83,12.71
628.0,X-Large Baseplate Grey,Basic,Supplementaries,1996,1,0,Retired,14.99,14.34
629.0,Three Building Plates,Basic,Supplementaries,1996,3,0,Retired,4.83,13.53
630.0,"Brick Separator, Green",Basic,Supplementaries,1996,1,0,Retired,2.49,3.51
630.3,Brick Separator,Bricks and More,Accessories,2011,1,0,Retired,2.49,3.12
631.0,Doors and Windows,Basic,Supplementaries,1996,52,0,Retired,6.59,17.49
632.0,Wheels and Tyres,Basic,Supplementaries,1996,60,0,Retired,6.59,9.5
633.0,Roof Tiles,Basic,Supplementaries,1996,50,0,Retired,6.59,12.91
634.0,Extra Bricks in Red,Basic,Supplementaries,1996,62,0,Retired,6.59,12.02
635.0,Extra Bricks in White,Basic,Supplementaries,1996,62,0,Retired,6.59,11.58
636.0,Pull Back Motor,Basic,Supplementaries,1996,14,0,Retired,5.71,7.52
637.0,Play Table,Basic,Supplementaries,1996,3,0,Retired,39.59,280.79
638.0,Lots of Extra Basic Bricks,Basic,Supplementaries,1996,404,0,Retired,17.59,
639.0,Lots of Extra Basic Bricks,Basic,Supplementaries,1996,400,0,Retired,17.38,48.04
715.0,Basic Building Set,Basic,,1990,395,0,Retired,15.83,92.24
725.0,Basic Building Set,Basic,,1990,319,2,Retired,,215.27
735.0,Basic Building Set,Basic,,1990,537,0,Retired,,425.72
818.0,Red Pull-Back Motor,Basic,Supplementaries,1990,8,0,Retired,10.78,12.57
819.0,Blue Baseplate,Basic,Supplementaries,1991,1,0,Retired,4.83,14.37
821.0,"Brick Separator, Grey",Basic,Supplementaries,1990,1,0,Retired,1.98,3.04
845.0,"Battery Motor, 9V",Basic,Supplementaries,1992,27,0,Retired,11.43,27.9
846.0,"Lighting Set, 9V",Basic,Supplementaries,1992,39,0,Retired,15.83,48.77
1029.0,Milk Delivery Truck,Town,Promotional,1999,95,1,Retired,,186.68
1040.0,Farm,Dact,Duplo,1991,89,4,Retired,,61.59
1054.0,Stena Line Ferry,Promotional,Ferries,1999,212,0,Retired,,158.77
1061.0,Single Disc Pack,Technic,Slizer,1999,1,0,Retired,,20.03
1068.0,Air Patrol,Town,Extreme Team,1999,20,1,Retired,2.19,18.94
1069.0,Speedboat,Town,Res-Q,1999,22,1,Retired,2.63,20.76
1070.0,Stunt Flyer,Town,Extreme Team,1999,20,1,Retired,2.63,9.08
1076.0,Advent Calendar,Basic,Seasonal,1999,229,1,Retired,17.59,78.1
1086.0,Bulk Bucket,Duplo,Building Sets,2000,48,0,Retired,13.19,15.04
1088.0,Road Burner,Town,Extreme Team,1999,25,0,Retired,2.19,7.7
1094.0,Johnny Thunder,Adventurers,Egypt,1999,13,1,Retired,3.51,148.01
1095.0,Super Sub,Aquazone,Hydronauts,1999,24,1,Retired,2.63,21.59
1096.0,Race Buggy,Town,Extreme Team,1999,23,1,Retired,2.19,73.46
1097.0,Res-Q Runner,Town,Res-Q,1999,18,1,Retired,1.75,13.46
1098.0,Hang Glider,Town,Extreme Team,1999,19,1,Retired,2.19,10.55
1099.0,Ninja Blaster,Castle,Ninja,1999,24,1,Retired,1.75,52.8
1100.0,Sky Pirates,Town,Promotional,2001,109,2,Retired,14.95,48.33
1106.2,Basic Building Set,Basic,,1999,411,2,Retired,21.99,86.0
1127.0,Santa,Seasonal,Christmas,1999,39,0,Retired,,13.31
1128.0,Santa on Skis,Seasonal,Christmas,1999,21,0,Retired,1.75,11.25
1129.0,Santa on Reindeer,Seasonal,Christmas,1999,34,0,Retired,1.75,4.92
1149.0,Air Police,Town,Promotional,2002,24,0,Retired,2.63,7.06
1166.0,Stack-n-Learn,Duplo,,2003,42,2,Retired,17.59,170.49
1177.0,Santa's Truck,Town,Promotional,2000,27,1,Retired,,90.77
1180.0,Space Port Moon Buggy,Town,Space Port,1999,25,1,Retired,1.75,23.88
1181.0,Space Port Spacecraft,Town,Space Port,1999,23,1,Retired,1.75,22.75
1182.0,Adventurers Raft,Adventurers,Egypt,1999,18,1,Retired,1.75,23.25
1183.0,Mummy and Cart,Adventurers,Egypt,1999,17,1,Retired,2.19,36.28
1184.0,Cart,Castle,Ninja,1999,24,1,Retired,1.75,40.73
1185.0,Raft,Castle,Ninja,1999,25,1,Retired,1.75,19.35
1186.0,Cart,Castle,Ninja,1999,25,1,Retired,1.75,20.97
1187.0,Glider,Castle,Ninja,1999,23,1,Retired,1.75,20.5
1188.0,Fire Formula,Town,Extreme Team,1999,38,1,Retired,3.95,16.49
1189.0,Rocket Boat,Town,Extreme Team,1999,30,1,Retired,3.95,13.84
1190.0,Retro Buggy,Town,Extreme Team,1999,45,1,Retired,3.95,13.89
1191.0,Try Bird,Town,Extreme Team,1999,34,1,Retired,3.95,10.08
1192.0,Stack N' Learn Gift Box,Primo,,1999,38,2,Retired,17.59,101.18
1193.0,Water Park Tub,Duplo,,1999,44,2,Retired,17.59,127.05
1194.0,Birthday Table Set,Classic,,1999,400,0,Retired,17.59,69.7
1195.0,Alien Encounter,Space,Life On Mars,2001,42,2,Retired,,13.96
1196.0,Telekom Race Cyclist,Town,Telekom,2000,7,1,Retired,1.75,21.87
1197.0,Telekom Race Cyclist and Television Motorbike,Town,Telekom,2000,26,4,Retired,2.63,79.2
1198.0,Telekom Race Cyclists and Service Crew,Town,Telekom,2000,81,3,Retired,8.79,45.1
1199.0,Telekom Race Cyclists and Winners' Podium,Town,Telekom,2000,129,8,Retired,11.43,118.36
1202.0,Single Racers Figure Pack,Racers,Xalax,2001,1,0,Retired,,
1237.0,Asimo Robot,Technic,,2001,56,0,Retired,,30.69
1239.0,Subzero,Racers,Xalax,2001,4,1,Retired,1.75,17.12
1246.0,Helicopter,Town,City,1999,26,1,Retired,1.5,15.87
1247.0,Patrol Car,Town,City,1999,32,1,Retired,1.5,9.79
1248.0,Fire Boat,Town,City,1999,24,1,Retired,1.5,9.18
1249.0,Tri-motorbike,Town,City,1999,14,1,Retired,1.5,14.95
1250.0,Dragster,Town,City,1999,25,1,Retired,1.5,11.11
1251.0,Go-Cart,Town,City,1999,26,1,Retired,1.5,15.58
1252.0,Shell Tanker,Town,Shell,1999,107,1,Retired,6.15,70.37
1253.0,Shell Race Car Transporter,Town,Shell,1999,102,1,Retired,5.5,21.97
1254.0,Shell Convenience Store,Town,Shell,1999,159,3,Retired,11.43,35.2
1255.0,Shell Car Wash,Town,Shell,1999,137,2,Retired,11.43,48.2
1256.0,Shell Service Station,Town,Shell,1999,144,2,Retired,17.59,44.2
1257.0,Tricycle,Technic,,1999,24,0,Retired,,9.79
1258.0,Buggy,Technic,,1999,29,0,Retired,,15.46
1259.0,Motorbike,Technic,,1999,28,0,Retired,,8.58
1260.0,Car,Technic,,1999,26,0,Retired,,14.19
1261.0,Tea With Bumble Bee,Duplo,Little Forest Friends,2000,10,2,Retired,4.39,35.17
1263.0,Easter Bunny,Seasonal,Easter,2000,27,0,Retired,2.63,8.83
1264.0,Easter Chicks,Seasonal,Easter,2000,26,0,Retired,,8.55
1265.0,Moon Buggy,Town,Space Port,1999,25,1,Retired,2.63,21.96
1266.0,Space Probe,Town,Space Port,1999,23,1,Retired,1.75,52.79
1268.0,Bike Blaster,Technic,,1999,28,0,Retired,1.75,13.1
1269.0,White Ninja,Castle,Ninja,1999,23,1,Retired,2.63,219.7
1270.2,Trial Size Bag,Creator,,2005,16,0,Retired,,5.55
1271.0,Jungle Surprise,Adventurers,Jungle,1999,33,1,Retired,1.75,44.67
1272.0,Blue Racer,Town,Race,2000,23,1,Retired,3.48,36.94
1273.0,Red Four Wheel Driver,Town,Race,2000,20,1,Retired,1.75,6.7
1274.0,Light Hover,Rock Raiders,Promotional,1999,25,1,Retired,,30.19
1275.0,Chainsaw Bulldozer,Rock Raiders,Promotional,1999,22,1,Retired,,29.89
1276.0,Helicopter Transport,Rock Raiders,Promotional,1999,22,1,Retired,,33.36
1277.0,Drill Craft,Rock Raiders,Promotional,1999,27,1,Retired,,35.56
1278.0,Jones and Baby Tyranno,Adventurers,Dino Island,2000,23,1,Retired,,31.56
1279.0,Cunningham's Dinofinder,Adventurers,Dino Island,2000,21,1,Retired,,38.94
1280.0,Dr. Kilroy's Microcopter,Adventurers,Dino Island,2000,28,1,Retired,,43.99
1281.0,Mike's Dinohunter,Adventurers,Dino Island,2000,24,1,Retired,,19.54
1282.0,Blue Racer,Town,Race,2000,23,1,Retired,1.75,13.61
1283.0,Red Four Wheel Driver,Town,Race,2000,20,1,Retired,1.75,18.81
1284.0,Green Buggy,Town,Race,2000,23,1,Retired,1.75,17.26
1285.0,Yellow Tiger,Town,Race,2000,23,1,Retired,1.75,17.26
1286.0,King Leo's Spear Cart,Castle,Knights&#39; Kingdom I,2000,22,1,Retired,1.75,25.54
1287.0,Richard's Arrowseat,Castle,Knights&#39; Kingdom I,2000,15,1,Retired,,26.07
1288.0,Bull's Fire Attacker,Castle,Knights&#39; Kingdom I,2000,24,1,Retired,,21.01
1289.0,Weezil's Stone Bomber,Castle,Knights&#39; Kingdom I,2000,22,1,Retired,,17.93
1290.0,Lava Buggy,Technic,Robo Riders,2000,35,0,Retired,,9.21
1291.0,Power Bike,Technic,Robo Riders,2000,32,0,Retired,,11.85
1292.0,Frost Flyer,Technic,Robo Riders,2000,33,0,Retired,,10.6
1293.0,Swamp Craft,Technic,Robo Riders,2000,25,0,Retired,,15.58
1294.0,Fire Helicopter,Town,City,2000,31,1,Retired,,33.51
1295.0,Water Rider,Town,City,2000,30,1,Retired,,20.0
1296.0,Land Scooper,Town,City,2000,30,1,Retired,,33.51
1297.0,Speed Patroller,Town,City,2000,34,1,Retired,,20.55
1298.0,Advent Calendar,Classic,,1998,216,0,Retired,17.59,40.4
1349.0,Steven Spielberg Moviemaker Set,Studios,,2000,442,7,Retired,158.39,266.46
1351.0,Movie Backdrop Studio,Studios,,2001,211,3,Retired,52.79,103.86
1352.0,Explosion Studio,Studios,,2001,233,4,Retired,34.99,61.49
1353.0,Car Stunt Studio,Studios,,2001,166,2,Retired,17.59,23.49
1354.0,Dino Head Attack,Studios,,2001,94,2,Retired,8.79,30.62
1355.0,Temple of Gloom,Studios,,2001,58,2,Retired,6.15,38.79
1356.0,Stuntman Catapult,Studios,,2001,29,2,Retired,2.99,14.36
1357.0,Cameraman,Studios,,2001,21,1,Retired,1.75,17.58
1360.0,Director's Copter,Studios,,2001,22,1,Retired,2.63,15.84
1361.0,Camera Car,Studios,,2001,20,1,Retired,2.63,7.97
1362.0,Air Boat,Studios,,2001,24,1,Retired,2.63,7.73
1363.0,Stunt Go-Cart,Studios,,2001,25,1,Retired,2.63,8.97
1370.0,Raptor Rumble,Studios,Jurassic Park III,2001,157,3,Retired,17.59,58.29
1371.0,Spinosaurus Attack,Studios,Jurassic Park III,2001,155,2,Retired,34.99,173.45
1374.0,Green Goblin,Studios,Spider-Man,2002,58,2,Retired,6.15,133.14
1376.0,Spider-Man Action Studio,Studios,Spider-Man,2002,248,5,Retired,26.39,218.23
1380.0,Werewolf Ambush,Studios,,2002,117,3,Retired,8.79,46.96
1381.0,Vampire's Crypt,Studios,,2002,176,4,Retired,17.59,152.76
1382.0,Scary Laboratory,Studios,,2002,493,6,Retired,43.99,202.08
1383.0,Curse of the Pharaoh,Studios,,2002,51,2,Retired,3.51,51.26
1384.0,BIRD ,Explore,Imagination,2002,6,0,Retired,,5.02
1385.0,Clikits Bracelet,Clikits,,2003,13,0,Retired,1.66,1.94
1386.0,Jewelry Sample,Clikits,,2004,16,0,Retired,2.63,5.18
1388.0,Huki,Bionicle,Matoran,2001,8,0,Retired,,23.99
1389.0,Onepu,Bionicle,Matoran,2001,8,0,Retired,,34.31
1390.0,Maku,Bionicle,Matoran,2001,8,0,Retired,,37.68
1391.0,Jala,Bionicle,Matoran,2001,8,0,Retired,,34.81
1392.0,Kongu,Bionicle,Matoran,2001,8,0,Retired,,39.53
1393.0,Matoro,Bionicle,Matoran,2001,8,0,Retired,,26.2
1403.0,Racing Leopard,Duplo,,2001,2,1,Retired,2.63,43.99
1404.0,Racing Tiger,Duplo,,2001,2,1,Retired,2.63,12.16
1405.0,Racing Lion,Duplo,,2001,2,1,Retired,2.63,8.83
1406.0,Nursing the Baby,Duplo,,2001,5,1,Retired,3.07,8.32
1407.0,Cooking with Mummy,Duplo,,2001,6,1,Retired,3.07,5.5
1408.0,Walking the dog with Daddy,Duplo,,2001,4,1,Retired,3.07,11.26
1411.0,Pirates Treasure Hunt,Studios,,2001,31,4,Retired,,22.0
1413.0,Rover,Space,Life On Mars,2001,29,1,Retired,,15.22
1414.0,Double Hover,Space,Life On Mars,2001,21,1,Retired,,16.05
1415.0,Jet Scooter,Space,Life On Mars,2001,24,1,Retired,,16.99
1416.0,Worker Robot,Space,Life On Mars,2001,30,1,Retired,,15.28
1417.0,Vakama,Bionicle,Turaga,2001,28,0,Retired,,71.39
1418.0,Matau,Bionicle,Turaga,2001,25,0,Retired,,61.44
1419.0,Nokama,Bionicle,Turaga,2001,27,0,Retired,,39.01
1420.0,Nuju,Bionicle,Turaga,2001,29,0,Retired,,48.77
1421.0,Director's Copter,Studios,,2001,22,1,Retired,,18.56
1422.0,Camera Cart,Studios,,2001,20,1,Retired,,5.54
1423.0,Air Boat,Studios,,2001,24,1,Retired,,5.35
1424.0,Stunt Go-Kart,Studios,,2001,25,1,Retired,,9.35
1425.0,Alpha Team Jet Sub,Alpha Team,Mission Deep Sea,2002,22,1,Retired,,11.85
1426.0,Alpha Team Wing Diver,Alpha Team,Mission Deep Sea,2002,21,1,Retired,,15.28
1427.0,Ogel Underwater Slizer,Alpha Team,Mission Deep Sea,2002,21,1,Retired,,26.06
1428.0,Kick 'n' Score,Sports,Football,2002,24,1,Retired,,15.81
1429.0,Goalkeeper Training,Sports,Football,2002,23,1,Retired,,14.12
1430.0,Precision Training,Sports,Football,2002,16,1,Retired,,13.21
1431.0,Tahnok Va,Bionicle,Bohrok Va,2003,27,0,Retired,,26.12
1432.0,Nuhvok Va,Bionicle,Bohrok Va,2003,26,0,Retired,,25.46
1433.0,Gahlok Va,Bionicle,Bohrok Va,2003,26,0,Retired,,21.24
1434.0,Lehvak Va,Bionicle,Bohrok Va,2003,25,0,Retired,,26.12
1435.0,Super Glider,Jack Stone,,2002,6,1,Retired,,5.43
1436.0,Ultralight Flyer,Jack Stone,,2002,15,1,Retired,,5.6
1437.0,Turbo Chopper,Jack Stone,,2002,12,1,Retired,,15.25
1441.0,Fikou,Bionicle,Rahi,2003,13,0,Retired,,13.11
1450.0,DUPLO Bucket,Duplo,Building Sets,2000,50,0,Retired,13.19,65.39
1452.0,Flower,Baby,,2001,1,0,Retired,2.63,19.75
1454.0,Stack-n-Learn,Baby,,2001,3,0,Retired,,4.31
1456.0,Squirt Frog,Baby,,2001,1,0,Retired,3.95,9.8
1457.0,Caterpillar,Baby,,2001,3,0,Retired,7.03,9.12
1461.0,Turbo Force,Town,Racing,1992,31,1,Retired,1.75,21.97
1462.0,Galactic Scout,Space,Blacktron 2,1992,23,1,Retired,1.75,18.13
1463.0,Treasure Cart,Castle,Crusaders,1992,23,1,Retired,1.75,94.22
1464.0,Pirate Lookout,Pirates,,1992,17,1,Retired,1.75,60.0
1474.0,Basic Building Set with Gift Item,Basic,Universal Building Set,1991,69,1,Retired,,41.24
1475.0,Airport Security Squad,Town,Flight,1991,123,2,Retired,8.79,372.98
1476.0,Five Set Bonus Pack,Promotional,Value Packs,1991,158,0,Retired,10.56,615.12
1477.0,Red Race Car Number 3,Town,Racing,1991,39,1,Retired,2.63,36.12
1478.0,Mobile Satellite Up-Link,Space,M-Tron,1991,31,1,Retired,2.63,161.62
1479.0,Two-Pilot Craft,Space,Blacktron 2,1991,34,2,Retired,4.39,165.48
1480.0,King's Catapult,Castle,Crusaders,1991,33,1,Retired,2.63,134.97
1481.0,Pirates Desert Island,Pirates,,1991,21,1,Retired,2.63,41.19
1482.0,Panda and Friends,Duplo,,1990,26,0,Retired,,
1483.0,Sailor and Parrot,Duplo,,1991,19,0,Retired,,23.18
1491.0,Dual Defender,Castle,Black Knights,1992,48,2,Retired,3.07,176.0
1492.0,Battle Cove,Pirates,,1992,26,1,Retired,2.63,111.17
1504.0,Family Bucket,Basic,,1993,229,5,Retired,17.59,47.14
1540.0,Betsy's Bedroom,Duplo,,1993,39,1,Retired,19.79,46.19
1545.2,Build-A-Rabbit,Basic,,1992,27,0,Retired,,8.98
1547.0,Black Knights Boat,Castle,Black Knights,1993,58,2,Retired,3.74,372.81
1548.0,Stena Line Ferry,Promotional,Ferries,1991,172,0,Retired,,335.17
1549.0,Santa and Chimney,Basic,Seasonal,1992,62,0,Retired,3.08,13.2
1559.0,Clown Car,Duplo,,1990,4,1,Retired,,36.76
1560.0,Glory Glider,Town,Promotional,1990,22,1,Retired,,8.79
1561.0,Stunt Chopper,Town,Promotional,1990,31,1,Retired,,5.97
1562.0,Wave Jumper,Town,Promotional,1990,25,1,Retired,,6.42
1563.0,Track Blaster,Town,Promotional,1990,30,1,Retired,,9.36
1576.0,Happy Face Carry Case,Duplo,,1994,30,0,Retired,,60.96
1579.0,Animal Fun,Duplo,,1993,30,0,Retired,,69.04
1581.2,Arla Milk Delivery Truck,Town,Promotional,1990,119,1,Retired,,
1583.0,Clown Bucket,Duplo,Building Sets,1992,30,3,Retired,,
1591.2,Duplo Bucket,Duplo,Building Sets,1991,32,2,Retired,,
1594.0,Rabbit and Bear Friend,Duplo,,1992,13,0,Retired,,48.65
1595.0,Girl with Cat,Duplo,,1993,17,0,Retired,,38.45
1596.0,Ghostly Hideout,Castle,Wolfpack,1993,37,2,Retired,3.74,634.88
1597.0,Castle Value Pack,Castle,Value Packs,1993,117,0,Retired,7.03,
1610.0,Police Car,Town,Police,1991,23,0,Retired,1.31,25.13
1611.0,Red Race Car,Town,Racing,1991,21,0,Retired,1.75,17.6
1614.0,Build-A-Farm,Duplo,,1993,23,2,Retired,,28.06
1624.0,King's Archer,Castle,Black Knights,1993,22,1,Retired,2.19,32.54
1630.0,Helicopter,Town,Flight,1990,27,0,Retired,3.07,43.9
1631.0,Black Race Car,Town,Racing,1990,23,0,Retired,1.75,24.86
1632.0,Speedboat,Town,Boats,1990,28,0,Retired,2.63,92.25
1633.0,Mini Loader,Town,Construction,1990,24,0,Retired,2.19,50.49
1635.0,Fire Dispatch,Duplo,,1991,18,2,Retired,,
1636.0,Handy Bucket of Bricks,Basic,,1990,184,1,Retired,,
1637.0,Basic Building Set,Basic,,1990,491,2,Retired,19.36,
1638.0,Basic Set,Basic,,1990,450,0,Retired,,
1639.0,Basic Building Set,Basic,,1990,669,0,Retired,,
1651.0,Basic Building Set Trial Size,Basic,,1993,30,0,Retired,,4.39
1652.0,Mini Box,Basic,,1993,39,0,Retired,,
1656.0,Evacuation Team,Town,Fire,1991,236,2,Retired,25.95,268.44
1657.0,Duplo Building Set,Duplo,Building Sets,1990,6,0,Retired,,12.75
1659.0,Tote Pack,Duplo,,1992,30,0,Retired,,
1660.0,Kronprins Frederik Ferry,Promotional,Ferries,1995,163,0,Retired,,352.92
1664.0,Bird,Duplo,,1992,2,0,Retired,,
1665.0,Dual FX Racers,Town,Racing,1990,108,3,Retired,7.7,185.28
1666.0,Brick Vac,Basic,,1991,132,1,Retired,,151.71
1668.0,Special Offer Trial Size,Basic,,1992,30,0,Retired,,9.08
1670.0,Trial Size Box,Basic,,1992,26,0,Retired,2.19,6.16
1672.0,Circus Building Set,Duplo,Building Sets,1990,18,2,Retired,,
1673.0,Zoo Train,Duplo,,1992,8,1,Retired,,
1674.0,Pre-School Bucket,Duplo,Building Sets,1990,100,1,Retired,,94.54
1675.0,Three Set Bonus Pack,Promotional,Value Packs,1990,165,0,Retired,8.79,922.56
1676.0,Basic Building Set,Basic,,1990,22,0,Retired,,18.73
1677.0,Rabbit,Basic,Seasonal,1990,25,0,Retired,0.87,6.15
1678.0,Building Set Special Offer,Basic,,1991,44,0,Retired,,9.67
1679.0,Basic Building Set,Basic,,1990,43,0,Retired,,8.8
1680.0,Crusader's Cart,Castle,Forestmen,1990,67,3,Retired,8.79,104.22
1682.0,Space Shuttle Launch,Town,Flight,1990,423,3,Retired,43.99,706.26
1684.0,DUPLO Bucket,Duplo,Building Sets,1990,51,3,Retired,,
1687.0,Midnight Transport,Town,Flight,1993,262,3,Retired,20.23,113.1
1688.0,Large Play Bucket,Basic,,1993,216,0,Retired,17.59,135.56
1690.0,Helicopter,Town,Promotional,1990,27,0,Retired,,23.1
1691.0,Racer,Town,Promotional,1990,23,0,Retired,,34.85
1692.0,Tractor Loader,Town,Promotional,1990,24,0,Retired,,44.56
1693.0,Racing Car,Town,Racing,1992,26,0,Retired,1.75,24.82
1694.0,Galactic Scout,Space,Blacktron 2,1992,23,1,Retired,1.75,45.21
1695.0,Treasure Chest,Castle,Crusaders,1992,23,1,Retired,1.75,171.74
1696.0,Pirate Lookout,Pirates,,1992,17,1,Retired,1.75,130.07
1698.0,Basic Building Set Special Offer,Basic,,1991,24,0,Retired,,25.63
1699.0,Small Bucket,Basic,,1993,179,0,Retired,14.95,
1701.0,Mini Box,Basic,,1994,26,0,Retired,,49.74
1702.0,Fire Fighter 4x4,Town,Fire,1994,59,1,Retired,8.79,24.84
1703.2,Dalmatian Station Building Set,Basic,,1994,172,0,Retired,,
1704.0,Ice Planet Satellite Plow,Space,Ice Planet 2002,1994,47,1,Retired,8.79,33.23
1705.2,Large Dinosaur Bucket,Basic,,1994,329,0,Retired,,
1707.0,20th Anniversary Jackpot Bucket,Basic,,1993,400,0,Retired,13.19,132.0
1708.2,Blue Ribbon Savings,Basic,,1994,650,0,Retired,,
1710.0,Snowmobile,Town,Leisure,1994,24,1,Retired,1.75,51.15
1711.0,Ice Planet Scooter,Space,Ice Planet 2002,1994,19,1,Retired,1.75,32.78
1712.0,Crossbow Cart,Castle,Dragon Knights,1994,23,1,Retired,1.75,52.78
1713.0,Shipwrecked Pirate,Pirates,,1994,23,1,Retired,1.75,42.12
1714.0,Surveillance Scooter,Space,Spyrius,1995,23,1,Retired,0.87,22.38
1715.0,Standard Bricks,Basic,,1995,400,0,Retired,14.07,23.67
1716.2,Starter Set with Building Plates,Basic,,1994,201,0,Retired,,
1719.2,Freestyle Bricks and Plates,Freestyle,,1995,199,0,Retired,17.59,21.44
1720.0,Cactus Canyon Value Pack,Town,Value Packs,1994,133,0,Retired,8.79,103.38
1721.0,Sandypoint Marina Value Pack,Town,Value Packs,1994,155,0,Retired,13.19,113.83
1722.0,Town / Space Value Pack,Promotional,Value Packs,1994,106,0,Retired,7.03,173.98
1723.0,Castle / Pirates Value Pack,Promotional,Value Packs,1994,72,0,Retired,7.03,178.8
1724.0,Bird,Basic,,1994,9,0,Retired,,22.31
1725.0,Dinosaur,Basic,,1994,11,0,Retired,,26.45
1726.0,Girl,Basic,,1994,7,0,Retired,,
1727.2,Cow,Basic,,1994,10,0,Retired,,23.68
1728.0,Crystal Crawler,Aquazone,Aquanauts,1996,97,1,Retired,8.79,95.92
1729.0,Barnacle Bay Value Pack,Pirates,Value Packs,1994,89,0,Retired,11.43,424.78
1730.0,Snow Scooter,Town,Leisure,1994,24,1,Retired,1.75,8.93
1731.0,Ice Planet Scooter,Space,Ice Planet 2002,1994,19,1,Retired,,21.52
1732.0,Crossbow Cart,Castle,Dragon Knights,1994,23,1,Retired,1.75,27.42
1733.0,Shipwrecked Pirate,Pirates,,1994,23,1,Retired,1.75,74.9
1734.0,Large Clown Bucket,Duplo,Building Sets,1995,77,0,Retired,,
1735.0,20th Anniversary Jackpot Bucket,Duplo,Building Sets,1993,50,2,Retired,,
1736.0,Wizard's Cart,Castle,Dragon Knights,1995,17,1,Retired,2.19,45.16
1737.0,Scorpion Detector,Space,Exploriens,1996,196,2,Retired,17.59,154.44
1739.0,Penguin,Duplo,,1997,8,0,Retired,,4.96
1740.0,Kayaker,Town,Leisure,1994,16,1,Retired,1.75,12.28
1741.0,ATV,Town,Leisure,1994,36,1,Retired,3.51,14.91
1742.0,Jeep Patrol,Town,Leisure,1994,81,1,Retired,4.39,111.73
1743.0,Standard Bricks,Basic,,1995,400,0,Retired,14.07,36.59
1744.0,Medium Bucket,Duplo,Building Sets,1995,51,1,Retired,,
1745.0,Standard Bricks,Basic,,1995,404,0,Retired,14.07,219.9
1746.0,Wiz the Wizard,Castle,Dragon Knights,1995,17,1,Retired,2.19,38.57
1747.0,Treasure Surprise,Pirates,,1996,22,1,Retired,1.75,42.24
1749.0,Paravane,Aquazone,Aquanauts,1996,16,1,Retired,1.75,10.75
1750.0,Renault Formula 1 Racer,Town,Promotional,1992,33,1,Retired,,421.72
1751.0,Small Bulk Bucket,Duplo,Building Sets,1996,27,1,Retired,5.27,
1752.0,Boat with Armor,Castle,Royal Knights,1996,21,1,Retired,1.75,28.94
1753.0,Medium Bulk Bucket,Duplo,Building Sets,1996,47,1,Retired,,
1755.0,Medium Bulk Bucket,Duplo,Building Sets,1994,60,2,Retired,,
1756.0,Animals,Basic,,1995,8,0,Retired,,16.22
1757.0,Large Bulk Bucket,Duplo,Building Sets,1994,87,3,Retired,,
1758.0,Animals,Basic,,1995,7,0,Retired,,7.52
1759.0,Parrot,Duplo,,1995,7,0,Retired,0.53,7.76
1760.0,Go-Kart,Town,Racing,1995,21,1,Retired,1.75,11.64
1761.0,Paradisa Speedboat,Town,Paradisa,1995,21,1,Retired,3.07,13.2
1762.0,Hot Wheels,Town,Racing,1995,21,1,Retired,1.75,25.66
1764.0,Birthday Building Set,Duplo,Building Sets,1995,100,0,Retired,,
1765.0,Small Bucket,Duplo,Building Sets,1995,34,0,Retired,,
1766.0,Small Freestyle Bucket,Freestyle,,1995,109,0,Retired,,
1767.0,Animals,Basic,,1995,6,0,Retired,,7.52
1768.0,Animals,Basic,,1995,10,0,Retired,,15.14
1769.0,Prop Plane,Basic,,1992,23,0,Retired,,19.68
1772.0,Airport Container Truck,Town,Promotional,1991,80,1,Retired,,566.82
1773.0,Airline Maintenance Vehicle with Trailer,Town,Promotional,1991,109,1,Retired,,127.15
1774.0,Aircraft,Town,Promotional,1991,137,2,Retired,21.99,
1775.0,Aircraft,Town,Promotional,1994,158,3,Retired,21.99,128.0
1776.0,Bonus Value Bucket,Basic,,1996,950,0,Retired,17.59,207.09
