stevilka,ime,tema,podtema,leto,st_kock,st_minifigur,dostopnost,msrp,vrednost
72003.0,Berserker Bomber,Nexo Knights,Season 5,2018,369,3,Retired,29.99,58.7
72004.0,Tech Wizard Showdown,Nexo Knights,Season 5,2018,506,3,Retired,49.99,109.24
72005.0,Aaron's X-bow,Nexo Knights,Season 5,2018,569,4,Retired,59.99,61.04
72006.0,Axl's Rolling Arsenal,Nexo Knights,Season 5,2018,604,4,Retired,69.99,78.41
75000.0,Clone Troopers vs. Droidekas,Star Wars,Episode II,2013,124,4,Retired,16.99,43.8
75001.0,Republic Troopers vs. Sith Troopers,Star Wars,The Old Republic,2013,63,4,Retired,16.99,48.22
75002.0,AT-RT,Star Wars,The Clone Wars,2013,222,4,Retired,26.99,60.05
75003.0,A-Wing Starfighter,Star Wars,Episode VI,2013,177,3,Retired,29.99,50.17
75004.0,Z-95 Headhunter,Star Wars,The Clone Wars,2013,373,3,Retired,49.99,174.94
75005.0,Rancor Pit,Star Wars,Episode VI,2013,380,4,Retired,69.99,285.01
75006.0,Jedi Starfighter & Planet Kamino,Star Wars,Planet Set,2013,61,1,Retired,12.99,28.96
75007.0,Republic Assault Ship & Planet Coruscant,Star Wars,Planet Set,2013,74,1,Retired,12.99,26.84
75008.0,TIE Bomber & Asteroid Field,Star Wars,Planet Set,2013,60,1,Retired,12.99,24.12
75009.0,Snowspeeder & Hoth,Star Wars,Planet Set,2013,69,1,Retired,12.99,87.76
75010.0,B-Wing Starfighter & Planet Endor,Star Wars,Planet Set,2013,83,1,Retired,12.99,21.96
75011.0,Tantive IV & Planet Alderaan,Star Wars,Planet Set,2013,102,1,Retired,12.99,44.64
75012.0,BARC Speeder with Sidecar,Star Wars,The Clone Wars,2013,226,4,Retired,29.99,350.49
75013.0,Umbaran MHC Mobile Heavy Cannon,Star Wars,The Clone Wars,2013,493,4,Retired,59.99,142.21
75014.0,Battle of Hoth,Star Wars,Episode V,2013,426,7,Retired,49.99,159.92
75015.0,Corporate Alliance Tank Droid,Star Wars,Episode II,2013,271,3,Retired,26.99,110.49
75016.0,Homing Spider Droid,Star Wars,Episode II,2013,295,4,Retired,39.99,109.45
75017.0,Duel on Geonosis,Star Wars,Episode II,2013,391,4,Retired,49.99,184.03
75018.0,JEK-14's Stealth Starfighter,Star Wars,Original Content,2013,550,4,Retired,69.99,181.03
75019.0,AT-TE ,Star Wars,Episode II,2013,794,5,Retired,99.99,276.94
75020.0,Jabba's Sail Barge,Star Wars,Episode VI,2013,850,6,Retired,119.99,364.69
75021.0,Republic Gunship,Star Wars,Episode II,2013,1175,7,Retired,129.99,487.03
75022.0,Mandalorian Speeder,Star Wars,The Clone Wars,2013,211,3,Retired,29.99,118.65
75023.0,Star Wars Advent Calendar,Star Wars,Seasonal,2013,254,9,Retired,29.99,56.12
75024.0,HH-87 Starhopper,Star Wars,The Clone Wars,2013,362,3,Retired,49.99,120.47
75025.0,Jedi Defender-class Cruiser,Star Wars,The Old Republic,2013,927,4,Retired,99.99,338.69
75028.0,Clone Turbo Tank,Star Wars,MicroFighters,2014,96,1,Retired,8.99,52.62
75029.0,AAT,Star Wars,MicroFighters,2014,95,1,Retired,9.99,25.51
75030.0,Millennium Falcon,Star Wars,MicroFighters,2014,94,1,Retired,6.99,19.86
75031.0,TIE Interceptor,Star Wars,MicroFighters,2014,92,1,Retired,6.99,22.0
75032.0,X-Wing Fighter,Star Wars,MicroFighters,2014,97,1,Retired,6.99,26.39
